job_title,job_url
PLM Engineering Data Engineer (m/w/d),https://www.rheinmetall.com/en/job/plm_engineering_data_engineer__m_w_d_/817055
Siemens System Administrator F-35 (m/w/d),https://www.rheinmetall.com/en/job/siemens_system_administrator_f_35__m_w_d_/800210
Enterprise Architect – Engineering Systems (CAx/PLM) (m/w/d),https://www.rheinmetall.com/en/job/enterprise_architect_engineering_systems__cax_plm___m_w_d_/1072961
Production Engineer and Lean Supporter Electronic Manufacturing (m/w/d),https://www.rheinmetall.com/en/job/production_engineer_and_lean_supporter_electronic_manufacturing__m_w_d_/1072976
Proposal Manager - Digital Solution (m/w/d),https://www.rheinmetall.com/en/job/proposal_manager_digital_solution__m_w_d_/1071791
Engineering Data Exchange Specialist (m/w/d),https://www.rheinmetall.com/en/job/engineering_data_exchange_specialist__m_w_d_/852590
Projektleiter Digitalisierung (m/w/d),https://www.rheinmetall.com/en/job/projektleiter_digitalisierung__m_w_d_/967268
Shopfloor (BDE) IT Software Engineer (m/w/d),https://www.rheinmetall.com/en/job/shopfloor__bde__it_software_engineer__m_w_d_/962984
Solution Architect - AI Applications (m/w/d),https://www.rheinmetall.com/en/job/solution_architect_ai_applications__m_w_d_/1031507
Technik Manager AI Applications (m/w/d),https://www.rheinmetall.com/en/job/technik_manager_ai_applications__m_w_d_/1031510
PLM Engineering Data Analyst (m/f/d),https://www.rheinmetall.com/en/job/plm_engineering_data_analyst__m_f_d_/1057607
