job_title,job_url
Manufacturing Software Developer - Ignition,https://www.saab.com/career/job-opportunities/manufacturing-software-developer---ignition
Project Manager, Industrialisation,https://www.saab.com/career/job-opportunities/project-manager-industrialisation
Manufacturing Program Manager,https://www.saab.com/career/job-opportunities/manufacturing-program-manager
Manufacturing Engineer,https://www.saab.com/career/job-opportunities/manufacturing-engineer
Senior Manufacturing Engineer,https://www.saab.com/career/job-opportunities/senior-manufacturing-engineer
Production Engineer 80–100% (m/w/d),https://www.saab.com/career/job-opportunities/production-engineer-80100-mwd
IT Systems Engineer,https://www.saab.com/career/job-opportunities/it-systems-engineer
Change Manager till Surveillance IM,https://www.saab.com/career/job-opportunities/change-manager-till-surveillance-im
Procurement Transformation Lead,https://www.saab.com/career/job-opportunities/procurement-transformation-lead1
Verksamhetsutvecklare Supply Chain Excellence,https://www.saab.com/career/job-opportunities/verksamhetsutvecklare-supply-chain-excellence

Technical Project Manager,https://www.saab.com/career/job-opportunities/technical-project-manager
Technical Project Manager,https://www.saab.com/career/job-opportunities/technical-project-manager1
Associate Project Manager,https://www.saab.com/career/job-opportunities/associate-project-manager
Associate Project Manager – Engineering & Sustainment Services,https://www.saab.com/career/job-opportunities/associate-project-manager--engineering--sustainment-services
Production Planner,https://www.saab.com/career/job-opportunities/production-planner
Senior Production Planner,https://www.saab.com/career/job-opportunities/senior-production-planner
Senior Production Planner,https://www.saab.com/career/job-opportunities/senior-production-planner1





