job_title,job_url
Principal Manufacturing Engineer- Digital;https://leonardocompany.wd3.myworkdayjobs.com/en-US/LeonardoCareerSite/job/GB---Basildon/Principal-Manufacturing-Engineering---Digital_R0028431?q=Principal%20Manufacturing%20Engineer-%20Digital
IT Implementation Specialist - Manufacturing;https://leonardocompany.wd3.myworkdayjobs.com/en-US/LeonardoCareerSite/job/GB---Basildon/IT-Implementation-Specialist---Manufacturing_R0027406?q=IT%20Implementation%20Specialist%20-%20Manufacturing
PLM Technical Leader;https://leonardocompany.wd3.myworkdayjobs.com/en-US/LeonardoCareerSite/job/GB---Luton---Cap-Green-300/PLM-Technical-Leader_R0014356-1?q=PLM%20Technical%20Leader;
Enterprise Architect - Standards, Process and Tooling;https://leonardocompany.wd3.myworkdayjobs.com/en-US/LeonardoCareerSite/job/GB---Luton---Cap-Green-300/Enterprise-Architect---Standards--Process-and-Tooling_R0030245?q=Enterprise%20Architect%20-%20Standards,%20Process%20and%20Tooling;
Digital Engineers - All Levels;https://leonardocompany.wd3.myworkdayjobs.com/en-US/LeonardoCareerSite/job/GB---Edinburgh/Digital-Engineers---All-Levels--All-UK-sites-_R0016572?q=Digital%20Engineers%20-%20All%20Levels;
SAP Transformation Lead;https://leonardocompany.wd3.myworkdayjobs.com/en-US/LeonardoCareerSite/job/GB---Edinburgh/SAP-Transformation-Lead_R0028430?q=SAP%20Transformation%20Lead;
SAP Functional Analyst - Project Systems;https://leonardocompany.wd3.myworkdayjobs.com/en-US/LeonardoCareerSite/job/GB---Basildon/SAP-Functional-Analyst_R0028003?q=SAP%20Functional%20Analyst%20-%20Project%20Systems;
Principal Data Engineer;https://leonardocompany.wd3.myworkdayjobs.com/en-US/LeonardoCareerSite/job/GB---Bristol---Coldharbour-Lane/Principal-Data-Engineer_R0031282?q=Principal%20Data%20Engineer;
Senior Data Engineer;https://leonardocompany.wd3.myworkdayjobs.com/en-US/LeonardoCareerSite/job/GB---Bristol---Coldharbour-Lane/Senior-Data-Engineer_R0014745?q=Senior%20Data%20Engineer;
Junior Data Engineer;https://leonardocompany.wd3.myworkdayjobs.com/en-US/LeonardoCareerSite/job/GB---Bristol---Coldharbour-Lane/Junior-Data-Engineer_R0026227?q=Junior%20Data%20Engineer;
Data Systems Engineer;https://leonardocompany.wd3.myworkdayjobs.com/en-US/LeonardoCareerSite/job/DE---Darmstadt---ESOC/Data-Systems-Engineer_R0028158?q=Data%20Systems%20Engineer;
Data Processing Engineer;https://leonardocompany.wd3.myworkdayjobs.com/en-US/LeonardoCareerSite/job/DE---Darmstadt---EUMETSAT/Data-Processing-Engineer_R0031225?q=Data%20Processing%20Engineer;
