job_title,job_url
Spontanans&#xF6;kan f&#xF6;r Elektronikkonstrukt&#xF6;rer,https://www.saab.com/career/job-opportunities/spontanansokan-for-elektronikkonstruktorer
Technical Writer,https://www.saab.com/career/job-opportunities/technical-writer1
Head of Technical and Logistic Support,https://www.saab.com/career/job-opportunities/head-of-technical-and-logistic-support1
Project Test Manager,https://www.saab.com/career/job-opportunities/project-test-manager
"Quality Inspector, InProcess Inspection",https://www.saab.com/career/job-opportunities/quality-inspector-inprocess-inspection
Werkstudierende f&#xFC;r KI-gest&#xFC;tzte Testentwicklung &amp; Automatisierung (m/w/d),https://www.saab.com/career/job-opportunities/werkstudierende-fr-ki-gesttzte-testentwicklung--automatisierung-mwd
Senior Depot Specialist,https://www.saab.com/career/job-opportunities/senior-depot-specialist
Principal Program Manager,https://www.saab.com/career/job-opportunities/principal-program-manager
Production Supervisor,https://www.saab.com/career/job-opportunities/production-supervisor
Systems Engineer - Radar,https://www.saab.com/career/job-opportunities/systems-engineer---radar
Associate Project Manager &#x2013; Engineering &amp; Sustainment Services,https://www.saab.com/career/job-opportunities/associate-project-manager--engineering--sustainment-services
Senior Production Planner,https://www.saab.com/career/job-opportunities/senior-production-planner1
Senior Technical Officer - Combat System,https://www.saab.com/career/job-opportunities/senior-technical-officer---combat-system1
Security Manager (m/w/d),https://www.saab.com/career/job-opportunities/security-manager-mwd
Security Administrator (m/w/d),https://www.saab.com/career/job-opportunities/security-administrator-mwd
Commercial Manager,https://www.saab.com/career/job-opportunities/commercial-manager1
System Engineer,https://www.saab.com/career/job-opportunities/system-engineer2
Sustainment Engineering Manager,https://www.saab.com/career/job-opportunities/sustainment-engineering-manager
Senior Material Handler,https://www.saab.com/career/job-opportunities/senior-material-handler
Team Manager (m/w/d) Software Development,https://www.saab.com/career/job-opportunities/team-manager-mwd-software-development
Stirlingtekniker,https://www.saab.com/career/job-opportunities/stirlingtekniker
DevOps Software Engineer,https://www.saab.com/career/job-opportunities/devops-software-engineer
Reliability Engineer/Maintenance Engineer,https://www.saab.com/career/job-opportunities/reliability-engineermaintenance-engineer
Projektledare,https://www.saab.com/career/job-opportunities/projektledare1
Saab Internship,https://www.saab.com/career/job-opportunities/saab-internship
Senior Staff Electrical Engineer,https://www.saab.com/career/job-opportunities/senior-staff-electrical-engineer
Technical Project Manager,https://www.saab.com/career/job-opportunities/technical-project-manager1
Change Manager till Surveillance IM,https://www.saab.com/career/job-opportunities/change-manager-till-surveillance-im
Leveransskoordinator,https://www.saab.com/career/job-opportunities/leveransskoordinator
Teknisk skribent,https://www.saab.com/career/job-opportunities/teknisk-skribent
Electronics Commodity Manager,https://www.saab.com/career/job-opportunities/electronics-commodity-manager
System engineer,https://www.saab.com/career/job-opportunities/system-engineer1
Develop your passion for software into reality - be a part of Saab!,https://www.saab.com/career/job-opportunities/develop-your-passion-for-software-into-reality---be-a-part-of-saab
Logistics and Training Advisor,https://www.saab.com/career/job-opportunities/logistics-and-training-advisor1
Flygprovsingenj&#xF6;r inom grundflygplanssystem,https://www.saab.com/career/job-opportunities/flygprovsingenjor-inom-grundflygplanssystem
